Name,Level,NE_LAT,NE_LNG,SW_LAT,SW_LNG,LAT,LNG
"Jharasar, jodhpur",VILLAGE,27.2585208,72.1223258,27.2441758,72.1109103,27.252081,72.11643579999999
"Jodhani @ Tepoo, jodhpur",VILLAGE,27.30424,72.07447,27.24334,72.0158199,27.2634326,72.04089060000001
"Kanasi Moti, jodhpur",VILLAGE,27.2950201,72.0350599,27.22801,71.9946099,27.2603019,72.0171862
"Raneri, jodhpur",VILLAGE,27.3626966,72.13108059999999,27.3463828,72.09863659999999,27.3555314,72.1149547
"Hanvant Nagar, jodhpur",VILLAGE,26.2802836,73.0400063,26.2772839,73.0367538,26.2786711,73.0383193
"Rampura, jodhpur",VILLAGE,26.7701501,73.65057990000001,26.72505,73.5969101,26.7529005,73.6124102
"Keshar Pura, jodhpur",VILLAGE,26.1892,72.24135,26.1538599,72.2109499,26.1678894,72.2215739
"Akhadhana, jodhpur",VILLAGE,27.3403597,72.1833516,27.3092864,72.1458864,27.3260159,72.1712309
"Pratap Nagar, jodhpur",VILLAGE,26.2967314,73.012267,26.277201,72.9900984,26.2837293,72.9981564
"Harisingh Nagar, jodhpur",VILLAGE,26.8034699,72.44609009999999,26.74529,72.4057799,26.7793231,72.4317323
"Ramjan Pura, jodhpur",VILLAGE,27.3790462,72.27879519999999,27.3617437,72.2620582,27.3700439,72.26894740000002
"Bheemji Ka Gaon, jodhpur",VILLAGE,27.3903638,72.26911780000002,27.373368,72.2432612,27.3855383,72.2571048
"Sindhi Pura, jodhpur",VILLAGE,26.43392,73.5675,26.3754399,73.52493989999999,26.4008414,73.541744
"Jaitrasar, jodhpur",VILLAGE,27.3917863,72.36488349999999,27.3834793,72.3493482,27.3885176,72.3562713
"Gadna, jodhpur",VILLAGE,27.43941,72.43104989999999,27.39312,72.36775,27.423535,72.3962239
"Baori Barsinga, jodhpur",VILLAGE,27.54949,72.40589,27.40103,72.31974989999999,27.4480987,72.36663
"Bohranada, jodhpur",VILLAGE,26.2020805,72.9544752,26.1566352,72.9091633,26.1735211,72.9342451
